t,x,err
54054,0.00264120,0.00084585
54055,-0.00129577,0.00237079
54056,0.00138753,0.00121419
54057,0.00030977,0.00088217
54058,0.00025060,0.00087010
54059,0.00161777,0.00094496
54060,0.00007139,0.00094613
54061,-0.00026889,0.00173820
54063,0.00111636,0.00169183
54065,0.00589147,0.00295552
54066,0.00360598,0.00193543
54067,0.00184467,0.00166854
54068,0.00439088,0.00274008
54069,-0.00289606,0.00282091
54070,0.00096765,0.00084369
54071,0.00132364,0.00147961
54072,-0.00303597,0.00328273
54073,0.00110230,0.00329585
54074,-0.00011724,0.00083653
54075,0.00094751,0.00209302
54076,-0.00113239,0.00156396
54077,-0.00256216,0.00419836
54078,-0.00139356,0.00158998
54079,-0.00008112,0.00130683
54080,0.00117939,0.00224537
54081,-0.02968778,0.01642260
54082,-0.00028087,0.00095229
54083,0.00044073,0.00066292
54084,0.00230473,0.00114225
54085,0.02877531,0.01413633
54086,-0.00028865,0.00111892
54087,0.00169184,0.00126489
54088,-0.00051083,0.00121035
54089,0.00222618,0.00105561
54090,0.00044408,0.00056717
54091,0.00253890,0.00140602
54092,-0.00062091,0.00252539
54093,0.00104631,0.00082379
54094,0.00062156,0.00136530
54096,-0.00192500,0.00114483
54097,0.00089438,0.00083888
54098,-0.00044483,0.00141766
54099,0.00040508,0.00156131
54100,0.00041188,0.00146409
54101,-0.00156807,0.00089168
54102,-0.00244692,0.00158842
54103,-0.00036779,0.00069411
54104,0.00123058,0.00118467
54105,0.00065565,0.00100447
54106,0.00168982,0.00171337
54107,0.00095535,0.00171540
54108,0.00120512,0.00136461
54109,-0.00774842,0.00863897
54110,-0.00360888,0.00834130
54111,-0.00435349,0.00428166
54112,-0.00127342,0.00134833
54113,0.00530870,0.00277639
54114,0.00001045,0.00111067
54115,-0.00015329,0.00108392
54116,0.00056265,0.00096335
54117,0.00368098,0.00314147
54119,0.00023589,0.00076066
54120,0.00018063,0.00143882
54121,0.00065706,0.00092137
54123,-0.00096353,0.00421399
54124,0.00079046,0.00165389
54125,0.00226289,0.00112711
54126,0.00052983,0.00067024
54127,0.00047103,0.00081264
54128,-0.00093720,0.00096169
54129,0.00010969,0.00064399
54130,-0.00179399,0.00103391
54132,-0.00086344,0.00066355
54133,0.00021190,0.00182200
54134,-0.00014972,0.00150655
54135,-0.00228223,0.00104449
54136,-0.00101220,0.00101021
54137,-0.00004227,0.00119269
54138,-0.00115846,0.00114475
54139,0.00089455,0.00076123
54140,-0.00002650,0.00123365
54141,-0.00060226,0.00071525
54142,-0.00114594,0.00083165
54143,0.00050173,0.00096689
54144,-0.00016417,0.00069275
54145,-0.00014372,0.00098430
54146,0.00027967,0.00075835
54147,0.00040913,0.00119071
54148,-0.00025831,0.00072585
54149,0.00065481,0.00074398
54150,0.00124843,0.00135730
54151,-0.00050902,0.00211450
54152,0.00220321,0.00163691
54153,-0.00005091,0.00087216
54154,0.00230296,0.00048878
54155,0.00079160,0.00068029
54156,0.00024833,0.00062795
54157,0.00147927,0.00076027
54158,-0.00015765,0.00062199
54159,0.00199708,0.00088807
54160,-0.00084683,0.00066857
54161,0.00018860,0.00073659
54162,-0.00103519,0.00079484
54163,0.00059887,0.00053065
54164,0.00085109,0.00051937
54165,-0.00026351,0.00052540
54166,0.00069022,0.00079156
54167,0.00062163,0.00063524
54168,-0.00031558,0.00113201
54169,-0.00031172,0.00084601
54170,0.00228951,0.00098422
54171,0.00068016,0.00102118
54172,0.00084509,0.00106626
54173,-0.00010195,0.00070984
54174,0.00157479,0.00071849
54175,0.00165993,0.00072210
54176,0.00092875,0.00076707
54177,0.00130097,0.00081660
54178,0.00057637,0.00099871
54179,0.00014088,0.00058968
54180,-0.00068169,0.00063690
54181,0.00027209,0.00066885
54182,0.00046460,0.00059388
