t,x,error
56215.6562,0.000149324303,5.06716315E-05
56222.6562,0.000404584629,8.08202458E-05
56229.6562,0.000686285144,1.09197339E-04
56236.6562,0.000472357031,9.31505419E-05
56243.6562,0.00050864002,8.90183946E-05
56250.6562,0.000585727394,1.03803839E-04
56257.6562,0.00045300214,8.18934495E-05
56264.6562,0.000664756517,9.84866419E-05
56271.6562,0.00032482596,6.30242648E-05
56278.6562,0.000358730293,7.26382932E-05
56285.6562,0.000445739133,7.29922540E-05
56292.6562,0.000375720236,6.15716272E-05
56299.6562,0.000425080681,8.02092036E-05
56306.6562,0.0003351536,,3.92495167E-05
56313.6562,0.000236837746,6.49561916E-05
56320.6562,0.000591672899,1.10269822E-04
56327.6562,0.000419180462,9.00795421E-05
56334.6562,0.000328707974,6.49252979E-05
56341.6562,0.000324540801,6.55238910E-05
56348.6562,0.000400253339,1.31366076E-04
56355.6562,0.00105157553,4.25127626E-04
56362.6562,0.000458623283,7.44644349E-05
56369.6562,0.000571771991,9.08095171E-05
56376.6562,0.000885479152,1.16879775E-04
56383.6562,0.000774656655,1.18384844E-04
56390.6562,0.00106942141,1.20240453E-04
56397.6562,0.000987152336,1.32231275E-04
56404.6562,0.000603604363,1.01192316E-04
56411.6562,0.000684140308,9.61609185E-05
56418.6562,0.000567798153,8.44833994E-05
56425.6562,0.000517634908,7.64303331E-05
56432.6562,0.000394863077,6.20943902E-05
56439.6562,0.000522588496,7.80715200E-05
56446.6562,0.000345795823,4.11028013E-05
56453.6562,0.000614473363,1.04677136E-04
56460.6562,0.000482143776,6.95341951E-05
56467.6562,0.000567954499,1.11605092E-04
56474.6562,0.000611964031,7.72893691E-05
56481.6562,0.000451799948,4.73122891E-05
56488.6562,0.000533422048,8.36637337E-05
56495.6562,0.000415630988,1.34922331E-04
56502.6562,0.000525353826,1.07117332E-04
56509.6562,0.000684821513,1.17538162E-04
56516.6562,0.0005402065,,9.13363838E-05
56523.6562,0.000635275734,1.07240725E-04
56530.6562,0.000576613587,1.12966023E-04
56537.6562,0.000619761064,1.89759943E-04
56544.6562,0.000390745408,7.41092590E-05
56551.6562,0.000600558589,1.11653600E-04
56558.6562,0.000169188541,2.87554849E-05
56565.6562,0.000472648739,8.76594277E-05
56572.6562,0.000263940252,5.08918274E-05
56579.6562,0.000247819698,7.97360917E-05
56586.6562,9.91300476E-05,4.30182845E-05
56593.6562,0.00037523231,6.80183512E-05
56600.6562,0.000449291896,8.99520892E-05
56607.6562,0.000322852604,7.01843819E-05
56614.6562,0.000544661772,1.05431849E-04
56621.6562,0.000195749279,5.25787618E-05
56628.6562,0.000431688823,1.19277138E-04
56635.6562,0.000262025453,8.84423207E-05
56642.6562,0.000342935731,9.41873004E-05
56649.6562,0.0002516245,,5.75881495E-05
56656.6562,0.000204393349,4.86951976E-05
56663.6562,0.000265920447,7.45210273E-05
56670.6562,0.000285329996,8.20786081E-05
