t,x,err
55242.017267,57.29547,0.27743
55243.029927,02.63867,0.30933
55244.038260,17.81442,0.52614
55245.025605,05.37701,0.43592
55245.403056,99.37571,0.18935
55246.379532,61.73035,0.16146
55247.243155,64.62028,0.16001
55249.244191,87.92303,0.31254
55250.319042,75.31451,0.27429
55251.523737,57.23762,0.25583
55252.258086,57.11507,0.26386
55253.228246,73.19084,0.25005
55254.232753,54.28855,0.24595
55256.181870,68.50440,0.28965
55257.026650,71.22666,0.27807
55258.024529,57.48987,1.20820
55259.101696,79.35938,0.44255
55261.976422,42.21783,0.20931
55262.044485,45.51252,0.29314
55262.978518,37.28307,0.24304
55264.986032,65.41138,0.27649
55265.989487,71.77483,0.29331
55266.994535,49.80577,0.24403
55267.928167,64.71651,0.26360
55269.874986,33.64187,0.20307
55270.441248,53.48218,0.18649
55272.949661,30.28675,0.64798
55273.952757,22.22169,0.22782
55275.020775,25.75122,0.19963
55275.961637,29.90704,0.15497
55276.016101,31.17871,0.18127
55277.162196,29.55213,0.18427
55278.024157,27.34197,0.22341
55280.983188,36.86930,0.19306
55282.375841,44.92017,0.22676
55284.055937,41.35501,0.25103
55286.063512,38.07969,0.20515
55287.002777,25.13845,1.26640
55287.007541,32.36861,0.23885
55287.925635,28.14779,0.19333
55288.945174,31.88608,0.18036
55290.002776,27.94210,1.36454
55290.008569,40.61734,0.27538
55291.070322,28.93834,0.26758
55293.349019,25.80387,0.25682
55294.016401,15.32296,0.12345
55297.093842,11.71436,0.11959
55299.032957,11.76574,0.15572
55303.119210,11.67088,0.12165
55306.132875,21.09754,0.17146
55309.145406,31.52430,0.20897
55312.158128,39.95257,0.22305
55314.846246,42.43372,0.22715
55315.102444,46.24902,0.22606
55318.861143,41.54726,0.19555
55319.865311,38.14935,0.19138
55320.868159,48.57008,0.21267
55321.872261,45.51898,0.20324
55322.871907,46.57500,0.22235
55323.874706,47.36122,0.22440
55325.953073,48.97855,0.21340
55326.892352,31.99205,0.18986
55327.895617,45.60901,0.22349
55330.893626,25.15518,0.17835
55333.034221,43.72338,0.22773
55336.914292,27.65923,0.16414
55339.055715,44.77269,0.20364
55342.073295,31.84507,0.20032
55345.948785,29.14161,0.16474
55348.959253,7.37820,0.08888
55351.936606,6.74110,0.06796
55354.950129,6.43396,0.07377
55357.962763,9.12298,0.09257
55360.075767,6.89303,0.08104
55362.935040,7.40084,0.09828
55365.935812,6.91101,0.07426
55377.678984,7.96765,0.08959
55382.787147,4.71028,0.06445
55386.309028,4.78190,0.07199
55391.058961,7.97189,0.22257
55533.523828,23.12956,0.18126
55535.530624,24.34999,0.14402
55537.483104,17.66066,0.13223
55539.476584,23.83002,0.15812
55543.889935,26.35403,0.17206
55545.501606,15.58106,0.16340
55547.503492,10.35340,0.15990
55549.521031,9.04978,0.10254
55554.467910,18.66121,0.14509
55557.820547,11.58112,0.11266
55560.165042,11.28912,0.12912
55562.426271,10.57924,0.09796
55564.434079,14.82052,0.12066
55566.409802,21.66856,0.13011
55568.450933,11.78232,0.10563
55570.528479,11.61224,0.09515
55572.214239,11.82336,0.12017
55572.472950,10.26130,0.15540
55574.480176,7.01459,0.10244
55576.487328,11.16044,0.10325
55578.303423,9.68774,0.10516
55581.364827,13.43134,0.12158
55582.370830,14.37946,0.12797
55586.249904,11.70422,0.18645
55588.069710,11.68660,0.11894
55590.342837,5.59472,0.11257
55592.478902,6.52166,0.08750
55594.208619,6.59878,0.09334
55594.289704,6.72607,0.12381
55596.294561,6.50473,0.08500
55598.423381,6.62560,0.08445
55600.369829,4.73500,0.07523
55602.450079,3.11613,0.05969
55604.180267,2.08269,0.05304
55604.386454,2.09807,0.04613
55606.187393,2.06707,0.05332
55612.205701,2.30836,0.06476
55614.963999,3.49734,0.06272
55617.294603,7.09351,0.08375
55619.302821,6.04040,0.07624
55621.311754,6.31283,0.08608
55623.319198,9.32322,0.09320
55624.591313,13.87077,0.11206
55625.392832,10.38365,0.12160
55627.148569,12.51564,0.19104
55627.275709,14.06732,0.12510
55629.281246,19.11607,0.15709
55631.348915,11.69938,0.10588
55633.100967,10.08320,0.09521
55635.295449,8.15196,0.09527
55636.975808,7.57223,0.23952
55640.112385,13.52873,0.12020
55642.993303,14.60050,0.12134
55645.261648,17.75917,0.14057
55647.275675,15.45910,0.12821
55649.090079,21.81785,0.14599
55649.220634,19.22157,0.14583
55651.281501,11.59507,0.11997
55655.028471,14.63929,0.11895
55657.243400,18.13441,0.15933
55659.250500,15.77523,0.21229
55660.981392,19.25281,0.15095
55664.810787,24.87662,0.18363
55667.210310,13.72774,0.11250
55670.222255,25.26973,0.15273
55672.158513,18.40316,0.13310
55674.167117,14.32282,0.12808
55676.116311,5.97348,0.05112
55678.250275,6.91326,0.07436
55681.941205,6.96571,0.08230
55682.010266,6.18044,0.08387
55682.141005,5.98016,0.07585
55685.952432,4.06898,0.06830
55687.948267,5.30485,0.07613
55690.965573,14.72962,0.17773
55694.571329,7.57496,0.08337
55698.182601,14.18253,0.12040
55701.945492,11.31349,0.45821
55705.205506,21.64579,0.14661
55707.211720,15.91458,0.12631
55707.949615,12.75421,0.10170
55709.213424,15.96365,0.31718
55709.953277,12.59266,0.11608
55711.157965,15.21595,0.12849
55711.963038,11.05857,0.10573
55713.969077,6.76479,0.08252
55715.907597,8.68781,0.10677
55719.051136,15.64684,0.18557
55722.064749,10.69405,0.10639
55839.946704,22.98735,0.15040
55845.832198,10.05642,0.09923
55851.901303,5.94621,0.12009
55852.102720,4.10287,0.07516
55854.715674,4.97543,0.07880
55859.066941,10.82522,0.11828
55866.826061,6.06304,0.08431
55887.947040,7.10599,0.23463
55894.047379,6.51876,0.07724
55900.067860,8.00794,0.09383
55907.747953,5.40133,0.06352
55918.581046,16.36110,0.13377
55920.516594,14.32787,0.13174
55922.523338,11.56038,0.12175
55930.538498,11.32426,0.15124
55934.417506,9.78373,0.10135
55939.179594,9.91431,0.10161
55941.120229,13.45099,0.11783
55945.132892,21.90080,0.22796
55945.401865,16.74448,0.16918
55947.137371,14.49936,0.13034
55947.459486,13.07690,0.60484
55949.402196,9.41927,0.10911
55951.409404,8.33166,0.18567
55953.471930,10.66658,0.11480
55955.410068,10.75478,0.11097
55957.415630,15.84899,0.13051
55959.436892,20.43376,0.17836
55960.818955,17.17830,0.39125
55967.452812,14.55171,0.20324
55972.326514,15.01293,0.13483
55974.191206,14.22269,0.11646
55976.329259,6.18904,0.08590
55978.201411,8.77661,0.10515
55978.335092,10.35685,0.10881
55980.342870,11.19035,0.11475
55982.179229,14.55514,0.11958
55982.354312,12.97498,0.11623
55984.360509,9.16949,0.09823
55986.366542,9.41259,0.09935
55988.637486,10.02022,0.12995
55995.228159,18.57927,0.16127
56000.339182,20.07908,0.15130
56002.271429,18.86037,0.16214
56006.280512,31.07589,0.19458
56008.160592,22.32777,0.15854
56008.352581,19.88932,0.15952
56009.841325,20.52855,0.16354
56010.156014,21.88953,0.15619
56012.093186,19.49802,0.28781
56012.261878,19.02262,0.15612
56014.049211,24.15999,0.16482
56016.036892,19.78978,0.17789
56021.917580,12.51348,0.13164
56023.525222,8.20630,0.09468
56025.927796,16.58556,0.16387
56029.336738,14.88087,0.12518
56030.743255,11.18221,0.10926
56033.150667,11.55449,0.10902
56037.293786,17.14004,0.13402
56038.036824,22.40038,0.16743
56039.019028,9.88269,0.10986
56040.021752,7.47053,0.09229
56041.170769,5.53885,0.08918
56041.959329,12.61462,0.12002
56044.181363,11.30916,0.19528
56046.655530,19.17721,0.15132
56048.190520,14.34155,0.15426
56052.945013,25.69115,0.16962
56054.939432,22.31746,0.16225
56056.208876,43.48542,0.22066
56058.190129,24.92561,0.17029
56062.165926,20.09997,0.15795
56064.160148,28.23065,0.17640
56066.166934,28.45603,0.15976
56068.165814,22.03464,0.29809
56072.713340,27.35166,0.17797
56074.718461,16.65953,0.13996
56076.789411,21.34730,0.15600
56078.530581,43.34872,0.20926
56268.423340,14.34397,0.13160
56272.433127,17.01968,0.13747
56276.166375,13.44267,0.13020
56278.497066,6.29743,0.13517
56280.177699,11.50652,0.18772
56284.174736,25.67607,0.17647
56287.126379,15.90762,0.12667
56291.387917,12.84095,0.10767
56294.824092,12.30147,0.10381
56296.942459,18.77495,0.13995
56300.156232,7.70354,0.10390
56302.193817,9.07755,0.07874
56302.379192,9.42723,0.09141
56302.481978,8.53425,0.08622
56302.750330,9.43813,0.05393
56302.963378,11.13488,0.13613
56304.484944,14.16723,0.11751
56307.167901,21.90222,0.09243
56307.460630,22.23862,0.07174
56310.172574,8.73576,0.09905
56312.408280,9.75001,0.03998
56314.512831,10.95300,0.10457
56317.368797,12.02437,0.13311
56320.310832,17.43445,0.15166
56324.665788,31.97488,0.23715
56327.375259,27.59282,0.20117
56329.231682,21.09346,0.05049
56331.322188,28.69080,0.61814
56333.133030,21.39913,0.16040
56335.305611,24.03829,0.08305
56338.002759,9.23756,0.72846
56338.008441,11.56767,0.12610
56340.213055,13.09504,0.04495
56342.175197,13.07055,0.14029
56346.353156,14.65603,0.12961
56350.362973,12.14904,0.11671
56352.372965,17.16203,0.13336
56355.989418,33.33574,0.23431
56356.187621,30.28024,0.09124
56358.321617,27.73466,0.26274
56363.002759,21.98935,1.19613
56363.200096,22.71676,0.05786
56366.258191,19.89020,0.15993
56368.233895,21.93365,0.06212
56369.071383,30.47234,0.18326
56370.072475,30.30379,0.18442
56374.284639,58.02928,0.25652
56381.954070,83.08380,0.44112
56383.280219,81.66637,0.29567
56383.966315,62.25819,0.25634
56384.888385,47.69951,0.17818
56385.120987,43.79898,0.09893
56387.087283,29.80136,0.18189
56389.223731,20.83334,0.16958
56392.094411,56.40180,0.24118
56393.165959,68.10346,0.26238
56393.225860,59.33578,0.16253
56393.939554,03.41324,0.37031
56394.202042,33.88260,0.17512
56395.209977,73.47220,0.18973
56396.205404,71.22698,0.12576
56397.135535,33.08215,0.20759
56397.969101,69.02238,0.37771
56398.503204,63.46303,0.10801
56399.245018,68.55534,0.09260
56400.205610,22.45235,0.06121
56401.182917,25.40985,0.06888
56402.180111,43.86607,0.11628
56403.318850,19.30755,0.23186
56408.361653,32.62864,0.18859
56412.163870,31.26803,0.19824
56413.949135,20.82019,0.13595
56414.201921,26.11078,0.11198
56416.134709,28.34947,0.30896
56418.628187,20.29242,0.27609
56420.016032,13.35685,0.13379
56423.914721,10.22094,0.06526
56428.186280,12.35194,0.11381
56616.792043,16.37383,0.13823
56616.824778,17.37665,0.13988
56627.268612,21.93374,0.14905
56629.536957,25.99821,0.16841
56631.267606,35.79589,0.19637
56633.532644,23.96134,0.23712
56635.265732,54.22841,0.24397
56637.477209,48.40094,0.22530
56639.274185,59.28287,0.25517
56641.273617,47.95799,0.25280
56644.349885,36.58270,0.20204
56647.148945,22.72670,0.14702
56649.544980,16.00974,0.13571
56653.151087,21.69594,0.15632
56659.523107,29.72957,0.18466
56663.486694,40.74769,0.28860
56665.225100,27.67044,0.16186
56667.461727,16.54541,0.12708
56668.096059,15.04806,1.99541
56669.171521,11.73539,0.11795
56671.273621,15.99844,0.13563
56677.173610,12.20315,0.11953
56681.308628,8.59714,0.14648
56683.367420,19.19835,0.15404
56685.165421,14.93368,0.12584
56695.368446,15.22694,0.13253
56699.180934,33.34965,0.29340
56702.370636,66.39034,0.27035
56703.168693,76.37035,0.46272
56708.071208,19.70195,0.15013
56710.104949,21.88086,0.20835
56716.315963,13.23024,0.15843
56720.384544,34.93791,0.20309
56722.064905,44.73357,0.21938
56724.391705,34.63765,0.20044
56726.063932,41.78567,0.21506
56737.185034,21.43534,0.16300
56739.056101,32.07228,0.19016
56741.318658,44.41584,0.21625
56743.120084,31.29551,0.10309
56743.349835,24.65766,0.09109
56745.063985,32.24314,0.18886
56745.259312,38.06106,0.19007
56748.257150,31.68756,0.32699
56749.069597,31.39980,0.24546
56751.254484,20.45938,0.14853
56753.054285,34.36501,0.20550
56755.932348,18.70304,0.14665
56759.979981,14.78218,0.59127
56761.453582,16.93778,0.12649
56763.727487,17.81919,0.13292
56765.664557,15.86536,0.12866
56767.186131,15.05816,0.13355
56768.936263,15.45502,0.16333
56771.269380,17.35371,0.14181
56772.936462,27.23285,0.17027
56773.129196,26.84913,0.15858
56773.924204,31.66103,0.12329
56774.320191,35.71240,0.19915
56775.171819,34.06453,0.13683
56775.259568,35.62565,0.20004
56775.320147,38.09814,0.20250
56775.932377,39.61058,0.29296
56776.125553,40.45012,0.18334
56776.934516,40.34792,0.20970
56777.002759,30.34881,1.38210
56777.165678,33.69904,0.11199
56778.491191,27.01669,0.18688
56779.117812,21.47448,0.26567
56779.451842,24.44230,0.22336
56779.930155,34.39162,0.30026
56780.051063,33.76521,0.26414
56780.993814,19.80329,0.21706
57024.968635,53.40236,0.24562
57026.274730,34.53649,0.25221
57028.811991,47.57562,0.22528
57031.077638,74.39085,0.29185
57033.765793,62.87100,0.32109
57035.238176,50.95008,0.24229
57037.099865,44.80260,0.23896
57039.230492,45.18949,0.22656
57040.549223,41.13939,0.23492
57041.488777,60.40384,0.26219
57043.255357,43.51374,0.21258
57043.488753,53.28227,0.20296
57046.489069,43.65771,0.42068
57047.337867,34.21822,0.19003
57049.076596,49.57155,0.26435
57051.130987,31.72689,0.18849
57053.002760,21.49833,1.18219
57053.008797,26.16651,0.22857
57056.058936,30.07907,0.25854
57059.326880,42.05777,0.36470
57062.120917,46.80537,0.24808
57064.086272,52.42455,0.24990
57066.046316,53.99188,0.29137
57068.238962,41.06754,0.25118
57070.360429,36.46123,0.47038
57072.289948,33.46268,0.91797
57074.288739,29.32424,0.39050
57076.286493,24.50867,0.27827
57078.104510,25.54003,0.31854
57080.283247,27.82900,0.28656
57082.224455,21.69146,0.18791
57089.015939,60.35911,0.29041
57092.006232,39.47152,1.70362
57092.011581,48.94844,0.26975
57094.201298,53.18797,0.29600
57096.205968,54.02106,0.24181
57100.184892,33.27694,0.20235
57102.180915,30.10874,0.18230
57103.910765,32.13422,0.18787
57105.972603,41.64127,0.24857
57108.050433,63.59547,0.26202
57112.027868,96.89517,0.31446
57112.893988,90.72816,0.25870
57113.491647,78.27438,0.25262
57114.290964,70.11824,0.19083
57115.420581,51.31896,0.27861
57116.951133,73.40192,0.28428
57119.943174,32.74760,0.21443
57121.911227,51.54943,0.25896
57123.339291,57.84092,0.24081
57125.748636,61.78665,0.29451
57126.369598,60.25462,0.28398
57127.265391,40.49775,0.20558
57129.192898,44.97083,0.28712
57130.127088,35.61880,0.20212
57131.191079,27.69202,0.24923
57132.870510,50.75362,0.23418
57133.323244,48.28140,0.22709
57134.934714,50.45569,0.23954
57137.056757,32.21463,0.20169
57140.248323,36.49717,0.21482
57141.917303,42.14642,0.21803
57147.257627,36.66223,0.19827
57148.956473,35.96967,0.19801
57149.971957,23.65021,0.77464
57150.153373,21.28121,0.14688
57152.154828,24.79965,0.16043
57154.219516,31.79525,0.17215
57156.206731,29.43628,0.18158
57158.148394,25.19237,0.15851
57160.929518,29.91268,0.18094
57161.794187,29.68402,0.18107
57162.924885,30.09274,0.19221
57163.921963,24.71226,0.17785
57166.466067,31.97196,0.28698
57168.413128,10.77395,0.12422
57171.903184,51.99936,0.23862
57172.243022,64.62885,0.26920
